lc_small_channel_name,400留资,AIGC名片,APP,APP-试乘试驾,APP-预约上门试驾,APP报名,APP留资,APP行为激活,B站官号,B站效果应用推广,B站效果投放,B站达人视频,CSOP活动,CSOP活动（门店）,JD汽车,LS6-66度客户激活,Popup,Popup（门店）,三垂投放（区域）,上财（门店）,企微投放（门店）,信息流-短视频,其他历史线索,其他活动（门店）,内部员工,历史数据,历史数据1,历史线索,友享,品牌-微信视频号,品牌投放-58汽车,品牌投放-太平洋汽车,品牌投放-头条,品牌投放-微信搜一搜,品牌投放-微博,品牌投放-懂车帝,品牌投放-抖音,品牌投放-易车,品牌投放-汽车之家,品牌投放-爱卡汽车,品牌投放-百度品专,品牌投放-百度地图,品牌投放-百度购车宝,商圈主动拓客,地推,地推（门店）,大模型线索挖掘,头条-号外,字节APP,字节效果-星声场搜索,字节效果-星声场留资,字节效果-盘龙留资,字节效果-群邑留资,字节效果-聚胜搜索,字节效果-聚胜留资,官网-试乘试驾,小程序留资,小红书-效果,小红书-矩阵,小红书圈层活动,小红书私信,巨懂车,异地线索,微信公众号,微信小程序,微信小程序-试乘试驾,微信服务号-,心愿单,总部孵化,总部孵化线索,意向金,懂车帝,懂车帝-效果联盟,懂车帝卖车通,懂车帝卖车通-400,懂车帝增效,懂车帝生服,战败激活,户外电梯广告,抖音,抖音-内容热推,抖音-矩阵,抖音SCRM,抖音小程序,抖音小程序-试乘试驾,抖音引流短视频,抖音本地生活服务,抖音来客电商,抖音达人运营,新媒体-小红书,新媒体-快手,新媒体-抖音,新媒体-视频号,旅游行业,易车,易车-效果,易车-达播,易车伙伴400,易车伙伴网单,智己生活家,智己福利社,朋友圈投放（区域）,汽车之家,汽车之家-效果,汽车之家车商汇,汽车之家车商汇400,汽车金融平台,活动自然参与,活动邀约用户,用户裂变,百度-搜索SEM竞价,直接大定,直播业务(Group),私人管家,经销商保客,老带新活动,腾讯-朋友圈广告,腾讯ADQ-新意,腾讯ADQ-有车,腾讯ADQ-海南明舟,腾讯ADQ-盘龙,腾讯ADQ-盟聚,腾讯ADQ-省广,腾讯ADQ-聚胜,腾讯ADQ-蔚蓝,腾讯效果-盟聚,自然客流,视频号-达人矩阵,试驾会（门店）,车主活动推荐,车展,车展（门店）,达人获客-潮驱,邀请落地页-试乘试驾,门店战败激活,集团客户,高意向线索
直接大定,0,0,6,3,0,1,6,2,0,0,0,0,0,0,0,0,0,8,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4,0,0,1,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0,2,2,0,13,0,0,61,1,0,8,2,0,0,4,0,0,0,10,0,0,0,0,0,0,0,2,0,30,2,0,2,0,0,1,3,0,0,0,4,0,2,1,0,13,0,5,0,0,6,1,0,1,0,0,0,0,0,0,0,1,0,0,135,1,0,6,1,3,0,0,1,0,0
直播业务(Group),2,0,121,81,0,0,66,39,0,0,0,0,0,0,3,4,1,202,0,0,0,15,20,1,6,3,0,1,0,0,3,0,0,3,0,7,6,2,7,9,0,0,22,6,0,90,0,0,36,3,21,4,5,0,0,6,57,0,10,0,19,2,9,4,2,40,3,100,32,9,196,119,3,176,13,0,1,85,2,0,0,213,1,25,3,0,1,0,0,61,0,522,4,2,85,24,0,37,121,17,0,3,58,2,59,15,0,105,0,63,4,159,292,3,1,1,0,9,0,4,3,2,1,23,0,0,2455,3,3,28,8,112,3,7,25,0,0
私人管家,0,0,8,5,0,0,2,3,0,0,0,0,0,0,0,1,0,6,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,29,3,0,0,1,0,0,3,1,0,0,3,0,0,0,0,0,0,0,4,0,7,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,3,1,7,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,2,0,5,0,0,0,0,0
经销商保客,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0
腾讯ADQ-新意,0,0,4,10,0,0,8,6,0,0,0,0,0,0,0,1,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,3,10,0,1,0,2,0,0,1,0,12,0,7,2,1,19,11,0,5,0,0,0,6,0,1,0,6,0,1,0,0,0,1,0,6,0,22,0,0,6,1,0,2,6,0,0,0,6,0,5,0,0,9,0,4,0,9,12,0,0,0,0,0,0,4,2,1,0,6,0,0,199,1,0,4,0,5,0,0,4,0,0
腾讯ADQ-海南明舟,1,0,7,14,0,0,3,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,1,0,3,0,1,0,0,1,10,0,0,0,2,1,0,0,0,18,0,15,2,1,23,9,0,10,2,1,0,9,0,0,0,4,0,0,0,0,0,0,0,10,0,19,1,0,8,0,0,0,4,0,0,0,5,0,6,2,0,11,0,6,0,17,10,1,0,1,0,1,0,0,1,0,0,4,0,0,168,0,0,1,0,8,0,0,4,0,0
腾讯ADQ-盘龙,1,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,3,0,0,0,0,7,1,1,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,3,0,2,1,12,3,0,0,0,0,0,1,1,0,0,0,1,0,0,63,0,0,1,0,3,0,0,0,0,0
腾讯ADQ-聚胜,1,0,30,28,0,1,20,7,0,1,0,0,0,0,0,2,0,51,0,0,0,1,5,0,1,0,0,0,0,0,1,0,1,7,0,0,0,0,1,0,0,1,1,2,0,17,0,0,2,1,6,0,1,0,0,3,18,1,2,0,4,1,4,1,0,50,1,32,4,8,58,19,1,28,1,0,0,19,0,1,0,25,0,1,0,0,0,0,0,24,0,75,2,0,13,3,0,8,20,1,0,0,13,1,12,4,0,26,1,22,1,38,31,1,0,1,0,5,1,1,10,4,0,0,0,0,516,2,1,16,2,26,0,3,11,0,0
自然客流,7,1,311,234,0,6,150,127,2,9,0,0,0,2,21,19,4,707,1,0,2,14,70,7,14,3,0,13,1,0,4,0,1,19,1,9,4,5,7,10,0,0,68,21,0,312,0,0,39,1,19,6,15,0,2,16,133,1,25,0,47,2,8,4,10,132,5,295,51,29,813,303,16,393,47,2,3,190,4,0,2,426,5,10,6,1,1,1,0,233,0,1307,16,0,276,28,1,104,299,13,2,14,172,3,224,60,0,460,6,305,13,609,436,14,3,13,0,22,5,26,20,13,0,64,2,0,0,3,29,145,20,378,8,16,103,2,0
视频号-达人矩阵,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
试驾会（门店）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
车主活动推荐,2,0,6,1,0,0,4,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,8,0,0,1,1,2,0,1,0,0,0,3,0,1,0,1,0,0,0,0,4,0,6,1,0,11,5,0,6,0,0,0,4,0,0,0,8,0,1,0,0,0,0,0,2,0,24,0,0,4,2,0,1,5,0,0,0,1,0,4,0,0,11,0,8,0,8,2,0,0,0,0,0,1,2,0,0,0,0,0,0,114,0,1,0,0,6,0,0,1,0,0
车展,0,0,3,5,0,1,7,3,1,0,0,0,0,0,0,0,0,13,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,6,0,5,2,2,18,7,0,3,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,16,0,0,4,0,0,0,1,1,0,0,2,0,2,2,0,5,0,10,0,3,4,0,0,0,0,0,0,0,0,1,0,1,0,0,125,0,0,2,0,10,0,0,2,0,0
车展（门店）,0,0,14,19,0,0,13,8,0,1,0,0,0,0,0,1,1,36,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,28,0,0,2,0,2,1,1,0,0,0,9,1,0,0,3,1,3,2,0,16,0,19,9,2,41,25,1,24,4,0,1,14,0,0,0,29,0,0,0,0,0,0,0,13,0,87,2,0,20,5,0,3,31,0,0,0,10,0,13,4,0,43,1,16,2,33,23,0,1,3,0,0,1,4,1,0,1,5,0,0,409,0,0,10,0,0,0,1,10,0,0
达人获客-潮驱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
邀请落地页-试乘试驾,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,7,2,0,19,5,0,7,2,0,0,6,0,0,0,10,0,0,0,0,0,0,0,5,0,25,0,0,5,0,0,0,2,1,0,0,2,0,6,2,0,15,1,11,1,8,7,0,0,1,0,0,0,0,0,0,0,2,0,0,128,0,2,5,0,17,0,0,2,0,0
门店战败激活,0,0,53,34,0,1,18,13,0,0,0,0,0,0,0,4,0,126,1,1,2,1,22,1,8,0,1,0,0,0,2,0,0,2,0,5,1,0,1,2,0,0,4,6,0,29,0,0,4,1,10,2,5,0,1,5,10,1,3,0,8,1,2,0,7,34,1,76,7,3,122,39,4,56,8,1,0,31,0,0,0,45,1,1,1,0,0,0,0,39,0,106,0,1,28,3,0,6,31,1,0,5,38,1,24,6,0,89,3,36,1,98,50,5,0,5,1,2,1,9,4,1,0,8,2,0,1091,1,2,20,3,44,0,2,0,0,0
集团客户,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高意向线索,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1,0,0,0
